Organization,Country,ISO_Alpha3,Region,Scope,Value_Chain,Commodity,Engagements,Member_Type,Activity_Locations,Membership_Structure,Indirect_Members,Indirect_Member_Countries,Indirect_Member_Commodity,Presence_Type,Website,Source_Country_HQ,Source_Active_Engagements_Projects,Official_Source_URL,Official_Description,Official_Notes
Sorghum United,Zimbabwe,ZWE,Africa,Global,Value-Chain Coordination & Advocacy,"Sorghum, Millets",2,Mixed stakeholders,United States; India; Kenya; Zimbabwe; Malawi; Philippines,Network / NGO-style,"Global network of sorghum and millet farmers, researchers, processors, NGOs, and consumer-facing brands focused on sustainability and market development.",United States; Philippines; India; Kenya; Zimbabwe; Malawi; South Africa; additional regions in Africa/Europe/Latin America,"Sorghum and millets value chains, food security, climate-resilient agriculture",Activity,https://sorghumunited.org/,USA,Food security projects; sorghum and millet value chain development,https://sorghumunited.org/about/,Sorghum United Foundation is a global non-profit on a mission to transform food systems through the power of sorghum and other climate-resilient crops.,Official site presents the organization as Sorghum United Foundation.
Sorghum United,Malawi,MWI,Africa,Global,Value-Chain Coordination & Advocacy,"Sorghum, Millets",2,Mixed stakeholders,United States; India; Kenya; Zimbabwe; Malawi; Philippines,Network / NGO-style,"Global network of sorghum and millet farmers, researchers, processors, NGOs, and consumer-facing brands focused on sustainability and market development.",United States; Philippines; India; Kenya; Zimbabwe; Malawi; South Africa; additional regions in Africa/Europe/Latin America,"Sorghum and millets value chains, food security, climate-resilient agriculture",Activity,https://sorghumunited.org/,USA,Food security projects; sorghum and millet value chain development,https://sorghumunited.org/about/,Sorghum United Foundation is a global non-profit on a mission to transform food systems through the power of sorghum and other climate-resilient crops.,Official site presents the organization as Sorghum United Foundation.
Sorghum United,Philippines,PHL,Asia,Global,Value-Chain Coordination & Advocacy,"Sorghum, Millets",2,Mixed stakeholders,United States; India; Kenya; Zimbabwe; Malawi; Philippines,Network / NGO-style,"Global network of sorghum and millet farmers, researchers, processors, NGOs, and consumer-facing brands focused on sustainability and market development.",United States; Philippines; India; Kenya; Zimbabwe; Malawi; South Africa; additional regions in Africa/Europe/Latin America,"Sorghum and millets value chains, food security, climate-resilient agriculture",Activity,https://sorghumunited.org/,USA,Food security projects; sorghum and millet value chain development,https://sorghumunited.org/about/,Sorghum United Foundation is a global non-profit on a mission to transform food systems through the power of sorghum and other climate-resilient crops.,Official site presents the organization as Sorghum United Foundation.
AFIA (American Feed Industry Association),United States,USA,North America,National,Input Suppliers / Manufacturing,"Animal Feed (including ingredients like corn, soybeans, vitamins, and additives).",3,Companies,United States,Corporate membership,"U.S. feed manufacturers, ingredient suppliers, premix companies, equipment manufacturers, and pet food companies (600+ members representing ~75% of U.S. commercial feed production).",N/A,N/A,HQ,https://www.afia.org/,USA,Animal feed industry advocacy; regulatory engagement; industry education,https://www.afia.org/about-afia/,"The American Feed Industry Association® (AFIA), based in Arlington, Va., is the world’s largest organization devoted exclusively to representing the business, legislative and regulatory interests of the U.S. animal food industry and its suppliers.",
Cattle Canada,Canada,CAN,North America,National,Producers / Industry Representation,"Cattle, Beef",3,Producer Associations,Canada,Federated (provincial associations),Provincial cattle producer associations including Alberta Beef Producers; Saskatchewan Stock Growers Association; Manitoba Beef Producers; Beef Farmers of Ontario; Atlantic Beef Producers.,Canada,Cattle/beef production and related producer representation,HQ,https://www.cattle.ca/,Canada,Beef industry advocacy; sustainability programs; research coordination,https://www.cattle.ca/,"The Canadian Cattle Association (CCA) is the national voice of Canada’s 60,000 beef farms and feedlots.",Official site identifies the organization as the Canadian Cattle Association.
United States Council for International Business (USCIB),United States,USA,North America,National,Trade / Industry Association (business advocacy),Multi-sector (cross-industry),4,Companies + Associations,United States; global (multilateral forums + worldwide network),Corporate membership,"300+ members including multinational companies, professional firms/law firms, and business associations",United States (member base) with global business operations,"Cross-sector business policy (trade, investment, digital, tax, labor, sustainability, dispute resolution)",HQ,https://uscib.org/,USA,International trade & investment policy advocacy; business representation via ICC/Business at OECD (BIAC)/IOE; standards & responsible business conduct; ATA Carnet guaranteeing/administration,https://uscib.org/uscib-at-a-glance-ud-2410/,The United States Council for International Business (USCIB) powers the success of US business across the globe.,
International Beverage Association,United States,USA,North America,Global,Trade / Industry Association (non-alcoholic beverages),Non-alcoholic beverages,4,Associations + Companies,Global (members operate in 200+ countries and territories); USA-based,Federated + corporate (trade association membership),Members include national/regional beverage associations plus multinational beverage companies operating in 200+ countries,"200+ countries/territories (association examples include US, Australia, Brazil, UK, Canada, China, India, Japan, Mexico, South Africa, Argentina, Colombia, Ecuador, Uzbekistan)","Non-alcoholic beverages (soft drinks, juices, bottled water, energy drinks and related categories)",HQ,https://www.icba-net.org/,"HQ: USA (Washington, DC)","Global policy advocacy before UN-related agencies; industry commitments (e.g., marketing/communications standards); Codex observer; regional groups (APAC, LATAM, Africa)",https://www.icba-net.org/,The International Council of Beverages Associations is the voice of the dynamic and diverse global non-alcoholic beverage industry.,No separate verified site under the exact workbook name was found; the profile matches ICBA.
International Food & Beverage Association (IFBA),Singapore,SGP,Asia,Global,Professional / hospitality association network (association for associations),Food & beverage,3,Associations (hospitality professionals),Global; Singapore-based,Federated (association of associations),National food & beverage manager/executive associations (founding members include FBMA Singapore; Malaysian F&B Executives Association; FBMA e.V. Germany; Cambodian Restaurant Association; plus other national associations),Cambodia; China; Greece; Germany; Indonesia; United Kingdom; Malaysia; Singapore; Switzerland; Taiwan; Spain/Ibero-America,"Hospitality food and beverage management, restaurants, hotels, professional training/networking",HQ,https://www.ifbaworld.com/,HQ: Singapore,Professional knowledge-sharing & networking; events and training; membership for national F&B manager/executive associations,https://www.ifbaworld.com/about-us/,International Food & Beverage Association is a nonprofit representation voice in the global hospitality landscape.,Singapore-registered nonprofit hospitality association network.
GrainGrowers (Australia),Australia,AUS,Oceania,National,Producers (farmers) / grower advocacy,"Grains (wheat, barley, canola, pulses, etc.)",4,Individual Farmers,Australia,Individual membership (free),"Australian grain farmers (membership free; 15,100 members)",N/A,N/A,HQ,https://www.graingrowers.com.au/,Australia,Policy & advocacy; grower engagement; thought leadership; investment in future-focused activities,https://www.graingrowers.com.au/,GrainGrowers is a national organisation working to enhance the profitability and sustainability of Australian grain farmers.,
International Council of Beverages Associations (ICBA),United States,USA,North America,Global,Trade / Industry Association (non-alcoholic beverages),Non-alcoholic beverages,4,Associations + Companies,Global (members operate in 200+ countries and territories); USA-based,Federated + corporate (trade association membership),Members include national/regional beverage associations plus multinational beverage companies operating in 200+ countries,"200+ countries/territories (including association members in US, Australia, Brazil, UK, Canada, China, India, Japan, Mexico, South Africa, Argentina, Colombia, Ecuador, Uzbekistan)",Non-alcoholic beverage sector and beverage trade associations,HQ,https://www.icba-net.org/,"HQ: USA (Washington, DC)","Global policy advocacy before UN-related agencies; industry commitments (e.g., marketing/communications standards); Codex observer; regional groups (APAC, LATAM, Africa)",https://www.icba-net.org/about-us/,The International Council of Beverages Associations (ICBA) drives the strategic agenda among global beverage association members and is the voice for the beverage industry before global policy-setting forums such as the United Nations and its related agencies.,
